measure,location,sex,age,cause,name,metric,year,value,lastvalue
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2002,892.2064856,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2002,1441.054281,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2002,1259.147723,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2002,108.0410073,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,2003,142.0851895,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,2004,569.9937158,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,2004,91.20330797,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,2004,237.1376976,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,2004,136.0067091,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2002,6.569091328,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2002,459.1753962,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2002,65.01461423,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,2003,204.9075261,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,2003,438.3745575,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Intimate partner violence,Rate,2003,81.40072507,78.95095568
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,2000,896.8025078,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,2000,2249.293744,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,2000,375.0028527,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,2000,263.8916588,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2000,923.7219956,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2000,1609.969615,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2000,1280.841702,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2000,105.013876,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,2003,1343.622213,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2000,6.898518814,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2000,485.4431513,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2000,68.91666444,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2001,902.9406053,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2001,1513.863475,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2001,1263.214755,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2001,106.358886,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,2004,1245.335747,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,2004,188.5315987,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,2004,444.2239413,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2001,6.578767275,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2001,467.3749315,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2001,66.72167467,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,2001,885.33869,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,2001,2172.70285,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,2001,390.8319252,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,2001,267.7275055,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Intimate partner violence,Rate,2004,79.92154903,78.95095568
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2003,879.1155969,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2003,1362.397655,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2003,1254.084494,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2003,109.9274873,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2003,6.702039632,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2003,452.1490337,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2003,63.26418403,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,2003,894.8998878,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,2003,2073.022863,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,2003,418.8810002,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,2003,273.3819853,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,2005,228.9524143,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,2005,535.3634315,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,2005,90.83790118,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,2006,222.0458142,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,2006,499.8041647,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,2006,91.31417832,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,2007,216.2565814,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,2007,467.0683183,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,2007,92.19845683,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,2006,130.5741894,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,2007,130.349606,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,2005,132.462526,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,2005,1190.024993,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,2005,178.7227,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,2005,450.530943,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Intimate partner violence,Rate,2005,79.12410506,78.95095568
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,2004,864.8364457,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,2004,1972.99982,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,2004,426.8317326,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,2004,274.6157754,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2004,841.2787247,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2004,1230.197982,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2004,1217.213936,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2004,110.4282464,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2004,6.629854807,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2004,428.6466824,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2004,59.86299768,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,2008,213.5652391,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,2008,447.1831681,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,2008,93.28987799,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,2006,1137.365026,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,2006,169.4623053,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,2006,452.8822657,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Intimate partner violence,Rate,2006,78.93527398,78.95095568
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,2009,205.0800464,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,2009,410.4705085,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,2009,94.04944075,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,2008,131.460036,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,2006,840.5207416,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,2006,1863.056155,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,2006,446.0635218,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,2006,283.5152783,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2006,808.7844823,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2006,1063.457188,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2006,1185.25199,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2006,111.8546002,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2005,822.5641554,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2005,1143.005249,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2005,1202.497192,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2005,111.2404161,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2006,6.861849544,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2006,408.1404367,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2006,56.04332018,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2005,6.723062845,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2005,417.6351656,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2005,57.82613358,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,2005,846.3128159,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,2005,1918.52043,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,2005,438.7559705,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,2005,277.8751697,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,2009,127.1893198,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2007,799.8781289,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2007,991.6787058,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2007,1167.178996,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2007,112.2129068,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2007,6.938625874,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2007,399.304936,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2007,54.10865668,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,2007,823.9421772,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,2007,1801.129023,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,2007,444.5840949,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,2007,290.8597168,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,2007,1086.184441,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,2007,160.8692865,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,2007,452.8366752,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Intimate partner violence,Rate,2007,79.28914891,78.95095568
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,2008,1059.461684,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,2008,155.9576508,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,2008,454.5288981,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,2009,998.9866087,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,2009,145.4754263,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,2009,449.9992721,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Intimate partner violence,Rate,2009,79.8307143,78.95095568
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Intimate partner violence,Rate,2008,79.64937414,78.95095568
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,2008,808.9190153,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,2008,1761.149507,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,2008,447.6460835,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,2008,303.6332813,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2008,802.737371,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2008,943.7520511,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2008,1163.397879,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2008,113.1257172,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2008,6.950381656,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2008,396.8259994,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2008,52.91212322,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,2011,197.2386192,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,2011,369.5219096,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,2011,94.49976558,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2009,6.841900898,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2009,382.7692109,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2009,50.41967039,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,2009,801.9966421,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,2009,1683.360886,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,2009,440.9512643,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,2009,309.0950691,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2009,788.3141386,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2009,868.9925822,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2009,1136.288078,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2009,112.7772672,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,2010,125.4053533,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,2010,202.1238543,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,2010,392.7726942,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,2010,94.47614359,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,2011,118.6650735,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Intimate partner violence,Rate,2010,79.62274381,78.95095568
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,2012,358.5683055,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,2012,94.52322863,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,2012,196.1718104,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,2010,975.1394523,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,2010,140.7121177,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,2010,451.515142,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,2012,115.8402535,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2011,6.530727437,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2011,377.5455145,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2011,47.32676593,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,2011,764.2132513,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,2011,1594.248055,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,2011,437.4276081,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,2011,315.4786543,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2011,782.9348563,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2011,783.454931,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2011,1116.751681,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2011,113.1263584,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,2011,133.9374042,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,2011,449.920871,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Intimate partner violence,Rate,2011,78.94575478,78.95095568
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2010,6.71550887,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2010,377.7944399,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2010,49.19087025,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,2011,936.5371636,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,2010,780.7704254,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,2010,1647.45232,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,2010,442.2825305,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,2010,315.5609259,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2010,788.879586,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2010,829.7544796,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2010,1132.09142,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2010,113.1922225,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Intimate partner violence,Rate,2012,78.69394227,78.95095568
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,2012,920.1584509,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,2012,131.1094439,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,2012,451.0150898,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,2013,115.0805097,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,2013,912.4482333,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,2012,743.5997071,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,2012,1555.403437,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,2012,431.5405766,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,2012,316.6580578,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,2012,791.9293127,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,2012,760.7785924,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,2012,1113.572267,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,2012,113.6071601,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,2014,196.3275379,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,2012,6.37512693,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,2012,358.16553,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,2012,46.15713911,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,2013,196.4675673,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,2013,351.3634752,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,2013,94.70667885,94.0962599
