measure,location,sex,age,cause,name,metric,year,value,lastvalue
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,1990,341.2231427,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,1990,385.574113,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,1993,186.572897,115.6933463
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Intimate partner violence,Rate,1994,90.6492071,78.95095568
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Dietary risks,Rate,1994,1876.903349,928.764374
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low physical activity,Rate,1994,294.8285885,130.4331995
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Occupational risks,Rate,1994,378.2814833,457.688033
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,1991,8.357274601,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,1991,590.2877136,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,1991,86.47700041,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,1991,1050.90299,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,1991,3035.142783,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,1991,240.1927311,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,1991,223.7888127,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,"Unsafe water, sanitation, and handwashing",Rate,1992,7.979203128,6.379863173
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Air pollution,Rate,1992,576.5840636,342.5510594
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Other environmental risks,Rate,1992,84.72459648,42.78366456
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,1991,1024.981732,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,1991,2391.896279,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,1991,1376.180299,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,1991,103.5155123,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Impaired kidney function,Rate,1995,343.1844059,200.9090824
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High LDL cholesterol,Rate,1995,984.9165567,346.8931578
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Childhood maltreatment,Rate,1995,92.00481851,94.0962599
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Child and maternal malnutrition,Rate,1992,994.2681802,715.6780858
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Tobacco,Rate,1992,2932.802008,1420.29808
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Alcohol use,Rate,1992,258.0417988,440.5191888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Drug use,Rate,1992,227.6918734,335.1616829
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High fasting plasma glucose,Rate,1992,1008.391449,899.4947739
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High systolic blood pressure,Rate,1992,2311.940525,753.7317619
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,High body-mass index,Rate,1992,1364.512648,1152.92888
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Low bone mineral density,Rate,1992,102.8612349,117.0326253
DALYs (Disability-Adjusted Life Years),England,Female,Age-standardized,All causes,Unsafe sex,Rate,1996,167.4745664,115.6933463
