year,name,value,lastValue
1990,Dietary.risks,4337.389603,1857.528748
1991,Dietary.risks,4179.968684,1857.528748
1992,Dietary.risks,4041.722121,1857.528748
1993,Dietary.risks,3975.349104,1857.528748
1994,Dietary.risks,3753.806698,1857.528748
1995,Dietary.risks,3702.197661,1857.528748
1996,Dietary.risks,3549.764731,1857.528748
1997,Dietary.risks,3410.106365,1857.528748
1998,Dietary.risks,3312.762948,1857.528748
1999,Dietary.risks,3168.528857,1857.528748
2000,Dietary.risks,3007.301587,1857.528748
2001,Dietary.risks,2867.428735,1857.528748
2002,Dietary.risks,2779.044722,1857.528748
2003,Dietary.risks,2687.244425,1857.528748
2004,Dietary.risks,2490.671495,1857.528748
2005,Dietary.risks,2380.049985,1857.528748
2006,Dietary.risks,2274.730052,1857.528748
2007,Dietary.risks,2172.368883,1857.528748
2008,Dietary.risks,2118.923369,1857.528748
2009,Dietary.risks,1997.973217,1857.528748
2010,Dietary.risks,1950.278905,1857.528748
2011,Dietary.risks,1873.074327,1857.528748
2012,Dietary.risks,1840.316902,1857.528748
2013,Dietary.risks,1824.896467,1857.528748
2014,Dietary.risks,1802.661431,1857.528748
2015,Dietary.risks,1817.32373,1857.528748
2016,Dietary.risks,1834.603335,1857.528748
2017,Dietary.risks,1857.528748,1857.528748
1990,Drug.use,440.99474,669.0014032
1991,Drug.use,446.9236697,669.0014032
1992,Drug.use,454.6214347,669.0014032
1993,Drug.use,465.1993633,669.0014032
1994,Drug.use,471.5133076,669.0014032
1995,Drug.use,484.4325353,669.0014032
1996,Drug.use,496.2981342,669.0014032
1997,Drug.use,505.5356287,669.0014032
1998,Drug.use,516.6179435,669.0014032
1999,Drug.use,523.4024344,669.0014032
2000,Drug.use,526.6850796,669.0014032
2001,Drug.use,534.1182647,669.0014032
2002,Drug.use,538.2152642,669.0014032
2003,Drug.use,544.9258094,669.0014032
2004,Drug.use,547.419587,669.0014032
2005,Drug.use,554.079367,669.0014032
2006,Drug.use,565.3217353,669.0014032
2007,Drug.use,579.856874,669.0014032
2008,Drug.use,605.319379,669.0014032
2009,Drug.use,616.3119428,669.0014032
2010,Drug.use,629.4129253,669.0014032
2011,Drug.use,629.542929,669.0014032
2012,Drug.use,631.926526,669.0014032
2013,Drug.use,643.7549367,669.0014032
2014,Drug.use,657.8356207,669.0014032
2015,Drug.use,666.4873253,669.0014032
2016,Drug.use,672.9763034,669.0014032
2017,Drug.use,669.0014032,669.0014032
1990,High.body.mass.index,2782.961148,2305.85776
1991,High.body.mass.index,2752.360597,2305.85776
1992,High.body.mass.index,2729.025295,2305.85776
1993,High.body.mass.index,2737.438697,2305.85776
1994,High.body.mass.index,2668.852408,2305.85776
1995,High.body.mass.index,2683.287355,2305.85776
1996,High.body.mass.index,2648.904083,2305.85776
1997,High.body.mass.index,2627.497194,2305.85776
1998,High.body.mass.index,2628.484853,2305.85776
1999,High.body.mass.index,2604.141416,2305.85776
2000,High.body.mass.index,2561.683405,2305.85776
2001,High.body.mass.index,2526.429509,2305.85776
2002,High.body.mass.index,2518.295445,2305.85776
2003,High.body.mass.index,2508.168987,2305.85776
2004,High.body.mass.index,2434.427873,2305.85776
2005,High.body.mass.index,2404.994385,2305.85776
2006,High.body.mass.index,2370.50398,2305.85776
2007,High.body.mass.index,2334.357993,2305.85776
2008,High.body.mass.index,2326.795758,2305.85776
2009,High.body.mass.index,2272.576157,2305.85776
2010,High.body.mass.index,2264.182839,2305.85776
